Layer
input_ids,0
__module.model.embed_tokens/ov_ext::embedding/Convert_1,13
__module.model.embed_tokens/ov_ext::embedding/Gather,64
__module.model.layers.0.input_layernorm/aten::mul/Multiply_1,41
ShapeOf_21455,0
Gather_21458,0
Concat_53865,1
Broadcast_53868,1
ReadValue_53497,6
ReadValue_53435,3
ReadValue_53437,2
ReadValue_53439,2
ReadValue_53441,2
ReadValue_53467,2
ReadValue_53469,2
ReadValue_53471,2
ReadValue_53473,2
ReadValue_53475,2
ReadValue_53477,2
ReadValue_53479,2
ReadValue_53481,2
ReadValue_53483,2
ReadValue_53485,2
ReadValue_53487,2
ReadValue_53489,2
ReadValue_53491,2
ReadValue_53493,2
ReadValue_53495,2
ReadValue_53465,2
ReadValue_53443,2
ReadValue_53445,2
ReadValue_53447,2
ReadValue_53449,2
ReadValue_53451,2
ReadValue_53453,2
ReadValue_53455,2
ReadValue_53457,2
ReadValue_53459,2
ReadValue_53461,2
ReadValue_53463,2
Gather_21480,0
ShapeOf_21473,0
Gather_21476,0
__module.model/aten::add/Add_1,1
__module.model/aten::arange/Range_1,26
__module.model/aten::unsqueeze/Unsqueeze_2,0
__module.model/aten::le/Convert,10
__module.model/aten::le/Convert_bf16_f32___module.model/aten::le/LessEqual,27
Gather_21476_i32_f32___module.model/aten::arange/Range,3
__module.model/aten::add/Add,0
__module.model/aten::add/Add_i32_f32___module.model/aten::arange/Range,2
__module.model/aten::arange/Range,7
__module.model/aten::unsqueeze/Unsqueeze_5,0
attention_mask,0
Convert_26959,1
Abs_26960,1
Clamp_28140,0
__module.model/aten::to/Convert,1
ShapeOf_26963,0
__module.model/aten::index/ReduceProd,11
__module.model/aten::index/Concat,0
__module.model/aten::index/Reshape,0
Squeeze_21483,0
__module.model/aten::arange/Range_2,2
__module.model/aten::unsqueeze/Unsqueeze_8,0
__module.model/aten::index/Split,0
__module.model/aten::index/Multiply,1
__module.model/aten::index/Add,0
__module.model/aten::index/Gather,2
__module.model/aten::index/Reshape_8,0
ShapeOf_27016,0
__module.model/aten::index/Reshape_12,0
Reshape_21482,0
Unsqueeze_216,0
__module.model/prim::ListConstruct,0
Broadcast_26278,1
__module.model/aten::le/LessEqual,12
